name,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
BERGMAN,95.87,0.8,0.45,0.54,0.94,1.39
PEOPLES,39.95,55.93,0.18,0.49,2.29,1.16
FAIR,67.85,28.29,0.41,0.4,1.71,1.33
MCCLENDON,40.57,54.83,0.3,0.69,2.12,1.5
CORLEY,76.67,19.35,0.32,0.68,1.34,1.64
PRADO,7.65,0.48,3.06,0.15,0.64,88.01
CHRISTIE,82.52,10.99,0.95,1.92,1.79,1.84
DELONG,95.08,0.83,0.52,0.84,1.21,1.52
SKAGGS,94.63,1.42,0.31,0.72,1.63,1.29
DILL,89.92,6.17,0.55,0.77,1.24,1.36
SHEARER,93.18,3.29,0.6,0.4,1.2,1.32
JUDD,90.42,5.62,0.74,0.5,1.29,1.43
STAPLETON,87.44,8.81,0.42,0.41,1.31,1.61
FLAHERTY,96.6,0.29,0.46,0.18,0.98,1.5
CASILLAS,5.46,0.26,0.29,0.39,0.34,93.25
PINTO,54.21,2.1,3.57,3.7,3.65,32.77
HAYWOOD,47.38,48.34,0.31,0.45,1.92,1.61
YOUNGBLOOD,71.53,22.6,0.26,1.75,2.53,1.33
TONEY,56.94,37.84,0.31,1.7,1.88,1.32
RICKS,48.51,47.87,0.27,0.3,1.55,1.5
GRANADOS,4.37,0.29,0.65,0.28,0.44,93.97
CRUM,87.75,8.9,0.34,0.46,1.21,1.33
TRIPLETT,68.02,28.18,0.32,0.55,1.66,1.27
SORIANO,10.75,0.65,21.61,0.25,1.77,64.97
WAITE,87.79,8.09,0.53,0.55,1.65,1.4
HOFF,94.54,2.1,0.56,0.45,1.21,1.14
ANAYA,6.14,0.25,0.64,0.69,0.49,91.79
CRENSHAW,54.59,41.29,0.24,0.47,1.91,1.49
JUNG,38.63,0.62,57.15,0.13,2.16,1.31
CANALES,7.37,0.69,0.43,0.23,0.45,90.82
CAGLE,93,3.1,0.26,1.06,1.44,1.13
DENNY,84.83,6.78,0.56,4.29,1.75,1.79
MARCUS,80.09,11.91,0.81,0.6,1.52,5.07
BERMAN,94.64,1.33,0.67,0.16,1.07,2.13
MUNSON,88.91,6.53,0.78,0.83,1.49,1.46
OCAMPO,3.91,0.14,15.11,0.22,1.09,79.53
BAUMAN,95.69,0.69,0.51,0.43,1.25,1.43
CORCORAN,95.29,0.3,0.5,0.55,1.07,2.3
KEEN,91.99,4.3,0.67,0.53,1.31,1.2
ZIMMER,96.56,0.33,0.49,0.44,0.99,1.18
FRIEND,87.74,7.34,0.36,0.89,1.44,2.24
ORNELAS,6.6,0.19,0.28,0.36,0.49,92.09
VARNER,82.79,13.84,0.39,0.5,1.48,1
PELLETIER,96.58,0.3,0.34,0.41,1.11,1.27
VERNON,78.73,15.9,0.45,0.5,1.95,2.47
BLUM,95.96,0.39,0.45,0.16,0.93,2.1
ALBRECHT,96.96,0.2,0.54,0.16,0.82,1.32
CULVER,85.2,10.61,0.37,0.61,1.43,1.78
SCHUSTER,96.1,0.46,0.69,0.4,0.87,1.48
CUELLAR,7.73,0.32,0.24,0.33,0.37,91
MCCORD,82.01,13.78,0.26,1,1.48,1.46
SHULTZ,96.04,0.81,0.51,0.39,0.92,1.33
MCRAE,54.97,41,0.34,0.33,1.76,1.6
MORELAND,76.61,18.9,0.37,0.82,1.76,1.53
CALVERT,90.63,5.72,0.42,0.71,1.11,1.41
WILLIAM,34.04,59.01,1.61,0.67,2.33,2.34
WHITTINGTON,81.62,14.54,0.26,0.54,1.65,1.39
ECKERT,96.43,0.27,0.44,0.36,1.1,1.4
KEENE,87.31,8.03,0.51,1,1.64,1.52
MOHR,96.27,0.55,0.47,0.41,0.91,1.39
HANKS,85.46,9.86,0.32,1.36,1.36,1.65
KIMBLE,61.91,34.25,0.42,0.64,1.42,1.37
CAVANAUGH,92.97,2.68,0.46,1.31,1.07,1.51
CROWELL,81.21,13.88,0.74,0.56,1.83,1.77
RUSS,73.59,22.44,0.37,0.55,1.7,1.34
FELICIANO,8.74,1.14,5.04,0.13,1.1,83.85
CRAIN,87.52,7.95,0.41,0.94,1.44,1.75
BUSCH,94.28,2.7,0.42,0.29,0.95,1.36
MCCORMACK,93.8,1.78,0.47,0.47,1.46,2.03
DRUMMOND,68.81,27.14,0.35,0.28,1.88,1.56
OMALLEY,96.9,0.24,0.52,0.22,1.02,1.1
ALDRICH,93.76,1.96,0.67,0.83,1.21,1.57
LUKE,75.28,14.14,5.39,1.06,2.13,2
GRECO,95.09,0.48,0.66,0.09,1.02,2.67
MOTT,86.49,9.57,0.41,0.58,1.35,1.59
OAKES,91.62,3.79,0.51,1.16,1.45,1.47
MALLORY,64.47,30.94,0.36,0.86,1.94,1.42
MCLAIN,88.94,7.03,0.34,0.85,1.47,1.37
BURROWS,86.95,8.77,0.59,0.83,1.43,1.43
OTERO,9.86,0.64,0.59,0.85,0.65,87.41
ALLRED,94.57,1.94,0.32,0.48,1.15,1.53
EASON,60.7,35.34,0.51,0.4,1.65,1.41
FINNEY,72.09,23.28,0.54,0.59,2.09,1.41
WELLER,95.58,0.95,0.55,0.43,1.12,1.37
WALDRON,89.56,5.9,0.42,0.63,1.58,1.91
CHAMPION,74.51,19.01,0.37,0.37,1.36,4.37
JEFFERS,80.92,14.31,0.46,0.75,1.88,1.68
COON,93.17,2.17,0.53,1.44,1.31,1.39
ROSENTHAL,94.37,2.01,0.47,0.15,1.31,1.68
HUDDLESTON,86.1,9.06,0.38,0.92,1.64,1.9
SOLANO,10.78,0.53,1.71,0.23,0.6,86.14
HIRSCH,95.84,0.93,0.48,0.15,0.8,1.8
AKINS,65.59,30.34,0.26,0.73,1.7,1.39
OLIVARES,4.64,0.14,1.04,0.18,0.28,93.72
SONG,2.08,0.39,95.12,0.06,1.91,0.43
SNEED,57.58,37.74,0.37,1.1,1.71,1.51
BENEDICT,93.29,1.25,0.81,1.23,1.4,2.02
BAIN,87.56,7.82,0.65,0.77,1.64,1.57
OKEEFE,96,0.34,0.5,0.27,1.12,1.77
HIDALGO,12.08,0.25,4.3,0.18,0.68,82.51
MATOS,17.14,1.46,0.27,0.15,1.43,79.55
STALLINGS,73.66,22.84,0.27,0.41,1.32,1.49
PARIS,79.49,10.96,1.21,0.5,1.9,5.94
GAMEZ,4.87,0.19,0.46,0.27,0.34,93.86
KENNY,90.52,5.5,0.71,0.61,1.1,1.56
QUIGLEY,94.61,1.66,0.5,0.51,1.15,1.56
MARRERO,8.95,2.03,0.42,0.09,0.46,88.04
FAGAN,86.93,9.7,0.56,0.27,1.17,1.38
DUTTON,91.95,3.98,0.47,0.72,1.38,1.5
ATWOOD,92.38,3.66,0.35,0.61,1.33,1.67
PAPPAS,95.23,0.42,0.42,0.36,1.57,2.01
BAGLEY,79.58,16.68,0.29,0.64,1.42,1.4
MCGOVERN,96.51,0.44,0.48,0.21,0.99,1.39
LUNSFORD,88.16,8.08,0.31,0.75,1.45,1.25
MOSELEY,79.48,16.92,0.38,0.47,1.24,1.52
READ,92.13,2.78,0.47,0.41,1.31,2.91
OAKLEY,87.13,8.8,0.36,0.54,1.61,1.56
ASHBY,82.46,13.23,0.38,0.59,1.51,1.82
GRANGER,79.28,16.03,0.28,0.56,1.45,2.4
SHAVER,92.34,3.85,0.38,0.71,1.14,1.58
HOPE,72.07,23.03,0.65,0.72,1.86,1.66
COE,84.6,10.44,1.2,0.47,1.57,1.72
BURROUGHS,71.54,24.43,0.41,0.43,1.53,1.66
HELM,89.4,6.83,0.65,0.41,1.49,1.22
AMBROSE,83.36,11.73,1.07,0.87,1.19,1.78
NEUMANN,96.01,0.25,0.59,0.34,1.05,1.76
MICHAELS,93.02,2.9,0.5,0.31,1.38,1.89
PRESCOTT,81.09,13.55,0.88,0.86,1.71,1.9
LIGHT,92.89,3.14,0.65,0.76,1.16,1.39
DUMAS,56.38,37.55,0.55,0.36,1.98,3.18
FLOOD,81.07,14.1,0.49,1.23,1.45,1.65
STRINGER,77.67,18.85,0.45,0.41,1.41,1.2
CURRIE,71.34,24.81,0.38,0.53,1.51,1.43
COMER,84.25,12.03,0.45,0.49,1.3,1.47
FONG,4.62,1.01,84.81,0.1,4.63,4.84
WHITLOCK,80.96,15.2,0.34,0.58,1.49,1.43
LEMUS,5,0.31,0.25,0.22,0.53,93.69
HAWLEY,91.41,4.25,0.45,1.16,1.26,1.47
ULRICH,96.51,0.41,0.46,0.33,0.92,1.37
STAPLES,73.51,21.29,0.49,1.5,1.87,1.33
BOYKIN,45.54,50.89,0.26,0.38,1.61,1.32
KNUTSON,96.71,0.21,0.41,0.4,1.11,1.15
GROVER,85.9,6.1,4.05,0.9,1.58,1.47
HOBSON,70.67,25.15,0.38,0.94,1.53,1.33
CORMIER,84.36,12.26,0.28,0.29,1.34,1.47
DORAN,92.06,1.74,0.79,0.35,1.22,3.84
THAYER,94.62,0.85,0.57,1.31,1.29,1.36
WOODSON,41.6,54.08,0.31,0.34,2.33,1.35
WHITT,86.44,10.27,0.34,0.55,1.32,1.07
HOOKER,73,22.36,0.3,0.44,1.49,2.41
KOHLER,96.32,0.23,0.58,0.4,1.07,1.4
ADDISON,53,42.49,0.38,1.19,1.78,1.17
VANDYKE,91.81,4.77,0.42,0.36,1.21,1.44
SCHRADER,96.88,0.27,0.36,0.26,0.89,1.34
HASKINS,70.67,25.15,0.38,0.74,1.73,1.33
WHITTAKER,78.54,16.67,0.52,0.57,1.83,1.87
MADSEN,95.99,0.4,0.59,0.44,1.07,1.5
GAUTHIER,89.6,5.25,0.38,1.15,1.63,1.99
BURNETTE,75.79,18.24,0.3,3.3,1.46,0.91
KEATING,95.7,1.07,0.52,0.24,1.09,1.38
PURVIS,81.56,15.25,0.36,0.27,1.25,1.31
ALEMAN,8.25,0.48,0.4,0.1,0.37,90.41
HUSTON,87.8,8.12,0.37,0.54,1.5,1.67
HAMLIN,81.33,14.6,0.35,0.78,1.5,1.43
PIMENTEL,23.9,0.51,4.19,0.14,2.21,69.04
GERBER,96.36,0.34,0.49,0.27,0.86,1.68
HOOKS,51.24,44.67,0.25,0.21,1.98,1.66
SCHWAB,96.57,0.23,0.47,0.22,1.13,1.38
HONEYCUTT,92.17,4.2,0.27,1,1.2,1.15
SCHULTE,97.4,0.19,0.37,0.18,0.76,1.11
ALONZO,12.1,2.38,5.82,1.02,0.94,77.74
ISAAC,43.81,39.91,3.64,3.02,2.43,7.2
CONROY,95.38,0.53,0.56,0.66,0.92,1.96
ADLER,95.57,0.56,0.49,0.17,1.31,1.9
EASTMAN,90.4,4.24,0.53,1.58,1.42,1.83
COTTRELL,85.71,10.65,0.38,0.52,1.46,1.29
OROURKE,95.67,0.45,0.49,0.56,1.1,1.74
HAWK,87.18,6.61,0.44,2.87,1.64,1.26
GOLDSMITH,81.27,15.41,0.47,0.34,1.17,1.34
CRANDALL,93.85,2.5,0.47,0.36,1.3,1.52
RADER,94.42,1.1,0.81,0.67,1.25,1.75
REYNOSO,4,0.27,1.66,0.22,0.29,93.56
SHOOK,95.9,0.66,0.31,0.67,1.33,1.12
ABERNATHY,80.03,16.55,0.41,0.51,1.33,1.17
BAER,96.1,0.45,0.72,0.26,1.01,1.45
OLIVAS,6.66,0.31,1.11,0.56,0.58,90.78
GRAYSON,52.79,41.65,0.53,1.05,2.33,1.65
BARTLEY,80.59,14.98,0.69,0.97,1.31,1.46
HENNING,93.38,3.6,0.4,0.42,1.08,1.12
PARR,89.75,4.79,1.48,0.59,1.48,1.91
DUFF,87.34,8.62,0.54,0.36,1.56,1.58
BRUNSON,52.49,43.79,0.29,0.32,1.72,1.4
BAUM,95.44,1.64,0.55,0.23,1.05,1.1
ENNIS,85.24,10.74,0.45,0.57,1.5,1.49
LAUGHLIN,93.88,1.75,0.34,1.11,1.18,1.75
FOOTE,83.16,11.34,0.44,1.84,1.57,1.65
VALADEZ,5.07,0.14,0.17,0.32,0.3,94.01
ADAMSON,87.8,8.33,0.38,0.55,1.42,1.53
BEGAY,1.59,0.3,0.24,94.98,1.51,1.37
STOVALL,60.09,35.27,0.37,0.6,2.08,1.58
LINCOLN,77.44,13.69,1.14,3.78,2.15,1.79
CHEUNG,1.4,(S),95.93,(S),2.02,0.52
MALLOY,79.7,16.98,0.39,0.32,1.37,1.24
RIDER,91.35,3.75,0.49,1.66,1.46,1.29
GIORDANO,95.17,0.37,0.4,0.1,1.04,2.92
JANSEN,95.22,0.62,0.75,0.6,1.2,1.6
LOPES,51.21,6.44,2.38,0.47,15.07,24.42
ARNETT,87.73,8.44,0.5,0.59,1.37,1.37
PENDLETON,75.07,20.49,0.53,0.86,1.67,1.38
GAGE,84.14,11.19,0.51,0.78,1.49,1.9
BARRAGAN,4.16,0.11,0.09,0.17,0.26,95.2
KEYES,67.05,23.75,0.89,0.69,1.72,5.91
NAVARRETE,3.92,0.16,2.07,0.13,0.39,93.32
AMADOR,9.6,0.26,1.54,0.44,0.61,87.54
HOFFMANN,96.56,0.21,0.48,0.13,0.7,1.93
HAWTHORNE,61.2,34.75,0.23,0.58,1.86,1.38
SCHILLING,96.52,0.26,0.52,0.29,0.92,1.48
PERDUE,82.47,13.96,0.28,0.61,1.32,1.35
SCHREIBER,96.96,0.18,0.4,0.19,0.77,1.51
AREVALO,4.27,0.32,3.26,0.16,0.41,91.59
NAYLOR,84.73,11.5,0.55,0.6,1.32,1.31
DELUCA,95.91,0.29,0.28,0.1,1.12,2.3
MARCUM,95.79,0.77,0.39,0.58,1.2,1.27
ALTMAN,94.09,2.58,0.43,0.35,1.07,1.48
MARK,71.7,12.38,9.53,2.1,2.06,2.22
CHADWICK,90.54,5.39,0.43,0.52,1.41,1.72
DOAN,37.94,0.64,58.62,0.27,1.79,0.74
EASLEY,64.88,30.1,0.42,1.02,2.06,1.53
LADD,88.81,6.38,0.53,0.95,1.48,1.84
WOODALL,85.49,10.42,0.38,0.89,1.47,1.34
BETANCOURT,9.56,1,0.16,0.29,0.4,88.59
SHIN,2.72,0.4,94.77,(S),1.7,(S)
MAGUIRE,96.8,0.21,0.47,0.22,0.95,1.36
BELLAMY,43.46,52.52,0.37,0.35,1.73,1.56
QUINTANILLA,4.99,0.41,1.93,0.15,0.68,91.84
HAM,69.72,11.72,14.11,0.44,1.62,2.39
SORENSON,95.85,0.27,0.58,0.57,1.38,1.35
MATTSON,95.44,0.35,0.78,0.67,1.42,1.35
BRENNER,96.15,0.37,0.5,0.42,0.9,1.65
MEANS,66.23,28.28,0.47,1.68,1.8,1.54
FAUST,86.8,9.91,0.41,0.36,0.94,1.59
CALLOWAY,40.41,55.42,0.34,0.37,2.25,1.22
OJEDA,5.61,0.45,0.85,0.21,0.35,92.53
MCNALLY,95.25,1.21,0.47,0.25,0.94,1.88
DIETRICH,96.35,0.48,0.51,0.31,0.87,1.48
RANSOM,56.72,36.77,0.44,2.34,2.05,1.67
HARE,86.54,9.19,0.41,1.07,1.45,1.33
FELTON,53.14,42.56,0.36,0.44,1.84,1.67
WHITING,78.77,16.21,0.55,1.13,1.6,1.74
BURKHART,96,0.27,0.47,0.61,1.16,1.49
CLINTON,67.62,26.15,0.41,1.51,2.25,2.06
SCHWARZ,96.49,0.19,0.48,0.1,0.92,1.82
CLEARY,94.54,2.37,0.42,0.19,1.03,1.45
WETZEL,96.34,0.46,0.48,0.35,0.94,1.42
REAGAN,93.59,2.28,0.53,0.66,1.27,1.68
STJOHN,88.26,5.1,0.52,2.23,1.56,2.33
CHOW,3.55,0.59,88.97,0.1,3.73,3.06
HAUSER,93.77,2.92,0.41,0.27,1.11,1.52
DUPREE,51.79,43.47,0.19,0.94,2.04,1.58
BRANNON,81.83,14.15,0.4,0.81,1.41,1.41
LYLES,41.81,53.28,0.24,0.45,2.11,2.12
PRATHER,77.68,18.39,0.34,0.7,1.5,1.38
WILLOUGHBY,84.18,11.48,0.56,0.86,1.72,1.21
SEPULVEDA,8.07,0.25,0.4,0.34,0.38,90.55
NUGENT,90.35,5.4,0.88,0.3,1.29,1.78
PICKENS,58.63,37.6,0.28,0.57,1.65,1.26
JOINER,66.34,30,0.41,0.44,1.24,1.56
MOSHER,95.76,0.34,0.56,0.4,1.33,1.61
STONER,92.7,4.14,0.36,0.45,1.06,1.29
DOWLING,89.74,6.53,0.42,0.4,1.1,1.8
TRIMBLE,82.31,13.73,0.39,0.69,1.27,1.62
VALDES,12.14,0.71,0.99,0.09,0.47,85.6
CHEEK,81.59,13.43,0.58,1.2,1.77,1.43
SCRUGGS,63.76,32.62,0.33,0.35,1.56,1.37
COY,83.75,7.58,0.47,0.62,1.49,6.09
TILLEY,89.34,6.83,0.36,0.95,1.32,1.2
BARNEY,80.19,12.72,0.45,3.21,1.53,1.9
SAYLOR,94.11,2.57,0.36,0.53,0.98,1.45
NAGY,96.06,0.3,0.51,0.21,1.35,1.56
HORVATH,96.76,0.24,0.41,0.11,1.02,1.46
LAI,3.72,(S),92.21,(S),2.92,0.74
COREY,90.06,5.69,0.54,0.46,1.62,1.62
RUTH,84.76,10.92,0.63,0.45,1.47,1.77
SAUER,96.62,0.31,0.62,0.18,0.96,1.31
BARON,84.82,3.05,1.56,0.13,1.39,9.05
THAO,0.57,(S),93.66,(S),5.13,0.49
ROWELL,82.31,13.9,0.4,0.75,1.35,1.29
GRUBBS,85.85,10.08,0.37,0.93,1.38,1.4
HILLMAN,82.7,13.26,0.52,0.56,1.5,1.47
SCHAEFFER,94.58,1.29,0.54,0.95,0.91,1.73
SAMS,77.52,18.67,0.48,0.65,1.41,1.28
HOGUE,82.99,10.87,1.24,1.38,1.68,1.84
HUTSON,86.4,10.17,0.41,0.49,1.32,1.21
BUSBY,79.45,16.11,0.4,0.65,1.77,1.63
NICKERSON,78.6,17.29,0.42,0.66,1.39,1.65
BRUNER,86.18,8.01,0.35,1.86,2.13,1.47
PARHAM,48.91,46.91,0.39,0.39,1.7,1.7
ANDERS,88.89,7.34,0.45,0.32,1.4,1.61
RENDON,8.42,0.32,0.72,0.43,0.49,89.62
LOMBARDO,94.88,0.33,0.23,0.06,1.12,3.39
IVERSON,89.05,7.34,0.44,0.37,1.2,1.59
KINSEY,78.68,16.87,0.36,0.95,1.5,1.63
EARL,74.49,21.12,0.37,0.71,1.5,1.8
BORDEN,81.66,13.45,0.78,0.44,1.53,2.14
JEAN,31.68,55.47,2.34,0.52,7.61,2.38
TITUS,82.04,11.51,1.38,1.7,1.64,1.73
TELLEZ,5.35,0.14,0.2,0.29,0.4,93.62
BEAVERS,79,16.63,0.29,0.97,1.66,1.44
CORNETT,92.64,4,0.33,0.42,1.51,1.1
SOTELO,5.57,0.21,1.94,0.42,0.66,91.19
KELLOGG,90.81,5.01,0.61,0.68,1.31,1.58
BURNHAM,92.73,3.43,0.49,0.64,1.22,1.5
MCNAIR,42.79,52.96,0.37,0.5,2.01,1.37
SILVERMAN,96.79,0.73,0.48,0.07,0.78,1.15
JERNIGAN,78.45,17.94,0.33,0.69,1.32,1.28
ESCAMILLA,4.53,0.2,0.36,0.31,0.32,94.28
BARROW,70.12,24.6,0.35,0.56,1.77,2.61
COATS,75.47,19.33,0.39,1.12,1.61,2.07
LONDON,59.88,35.14,0.48,0.66,1.77,2.08
REDDING,72.37,23.66,0.27,0.56,1.43,1.7
RUFFIN,15.32,81.05,0.24,0.2,1.87,1.32
YI,1.53,(S),95.02,(S),1.89,1.35
BOUDREAUX,87.68,8.88,0.3,0.57,1.33,1.23
GOODSON,72.88,22.87,0.35,0.72,1.71,1.47
DOWELL,77.51,18.87,0.3,0.45,1.31,1.57
FENTON,90.48,5.69,0.51,0.4,1.2,1.73
MOCK,87.07,6.5,2.89,0.47,1.14,1.93
DOZIER,48.58,47.12,0.26,0.37,2.11,1.55
BYNUM,47.64,48.11,0.39,0.61,1.95,1.3
GALE,85.14,9.2,0.9,0.74,1.67,2.35
JOLLY,78,17.2,1.77,0.61,1.16,1.26
BECKMAN,94.86,1.77,0.38,0.53,1.17,1.29
GODDARD,88.05,7.23,0.53,0.79,1.56,1.83
CRAVEN,91.48,5.23,0.32,0.5,1.24,1.23
WHITMORE,77.22,18.74,0.46,0.54,1.78,1.26
LEARY,83.12,13.62,0.73,0.17,1.09,1.26
MCCLOUD,52.84,40.92,0.28,2.52,2.04,1.4
GAMBOA,7.2,0.98,7.15,0.33,1.25,83.09
KERNS,92.6,3.51,0.37,0.95,1.36,1.21
BRUNNER,93.19,3.42,0.47,0.38,1.08,1.46
HOUGH,85.73,10.21,0.72,0.66,1.23,1.44
NEGRON,7.21,1.09,0.22,0.14,0.45,90.89
CUTLER,88.68,7.63,0.57,0.51,1.34,1.27
LEDESMA,7.6,0.25,3.66,0.42,0.77,87.29
PYLE,94.72,1.6,0.37,0.64,1.17,1.49
MONAHAN,96.47,0.18,0.53,0.33,0.76,1.73
TABOR,87.02,7.66,0.85,0.74,1.66,2.07
BURK,92.52,3.32,0.44,0.6,1.29,1.83
LEONE,94.6,0.86,0.57,0.31,1.44,2.21
STAUFFER,97.2,0.2,0.23,0.21,0.91,1.26
HAYWARD,73.26,21.81,0.57,0.98,1.89,1.48
DRIVER,74.53,20.22,0.56,1.62,1.78,1.3
RUFF,75.52,20.96,0.37,0.41,1.42,1.32
TALBOT,93.13,3.21,0.53,0.5,1.08,1.55
SEALS,55.09,40.41,0.28,1.08,1.78,1.36
BOSTON,54.8,40.72,0.49,0.83,1.63,1.53
CARBAJAL,4.36,0.47,0.76,0.29,0.37,93.75
FAY,93.33,2.03,0.82,0.42,1.33,2.07
PURDY,89.6,4.7,1.28,0.54,2.07,1.81
MCGREGOR,83.46,12.49,0.36,0.53,1.59,1.56
SUN,2.78,0.18,93.46,0.33,2.5,0.76
ORELLANA,4.37,0.37,0.34,0.14,0.47,94.31
GENTILE,96.28,0.42,0.31,0.11,0.88,2.01
MAHAN,87.95,6.88,0.7,0.78,1.79,1.89
BROWER,88.05,7.05,0.46,1.39,1.35,1.69
PATINO,7.94,0.21,0.85,0.13,0.34,90.54
THURSTON,85.8,10.24,0.48,0.42,1.66,1.39
SHIPMAN,81.6,13.99,0.49,0.82,1.64,1.46
AARON,69.85,24.76,0.95,0.55,1.61,2.28
TORREZ,7.69,0.45,0.24,0.83,0.45,90.34
CALL,94.91,1.13,0.5,0.46,1.02,1.98
WEINER,96.81,0.34,0.42,0.03,0.98,1.42
WILBURN,68.82,26.52,0.28,0.65,1.85,1.88
OLIVA,28.51,0.56,3.16,0.13,0.85,66.79
HAIRSTON,12.37,83.04,0.2,0.21,2.91,1.27
COLEY,54.12,40.76,0.49,0.9,2.09,1.63
HUMMEL,97.21,0.13,0.47,0.14,0.83,1.22
ARREOLA,2.62,0.16,2.03,0.19,0.41,94.59
WATT,80.96,13.37,1.12,1.01,1.84,1.71
SHARMA,4.23,0.62,85.65,0.44,8.03,1.03
LENTZ,96.14,0.92,0.46,0.32,1.08,1.09
ARCE,8.07,0.79,4.07,0.31,0.82,85.94
POWER,90.93,4.67,0.77,0.41,1.37,1.85
LONGORIA,9.38,0.25,0.2,0.24,0.41,89.52
WAGONER,93.46,2.84,0.49,0.69,1.27,1.25
BURR,88.1,7.2,0.49,1.17,1.61,1.43
HSU,1.82,(S),95.36,(S),2.46,0.26
TINSLEY,65.38,30.49,0.37,0.47,1.75,1.54
BEEBE,94.01,1.22,0.57,0.88,1.66,1.66
WRAY,84.82,11.69,0.33,0.48,1.52,1.17
NUNN,70.69,24.25,0.66,0.72,1.83,1.85
PRIETO,8.56,0.52,1.58,0.37,0.53,88.44
GERMAN,64.31,14.05,0.81,0.66,1.74,18.44
ROWLEY,92,4.19,0.47,0.41,1.27,1.66
BRITO,10.29,1.82,0.73,0.18,3.2,83.78
GRUBB,95.81,1.62,0.38,0.35,0.87,0.98
ROYAL,55.46,39.67,0.37,0.45,1.85,2.21
VALENTIN,9.74,3.06,1.56,0.13,0.94,84.58
BARTHOLOMEW,88.06,7.57,0.45,0.63,1.67,1.62
SCHULER,93.79,2.72,0.48,0.63,1.05,1.33
ARANDA,7.14,0.49,2.49,0.3,0.47,89.11
FLINT,86.88,9.4,0.4,0.4,1.41,1.51
HEARN,77.51,18.72,0.41,0.35,1.19,1.83
VENEGAS,4.73,0.18,0.56,0.35,0.33,93.86
UNGER,95.44,1.1,0.5,0.58,1.08,1.31
MATTINGLY,95.55,1.48,0.4,0.63,1,0.95
BOLES,83.38,12.82,0.39,0.5,1.69,1.22
BARGER,93.88,2.28,0.25,1.06,1.15,1.38
CASAS,6.63,0.13,1.35,0.14,0.33,91.41
JULIAN,77.07,7.65,4.49,1.32,1.65,7.82
DOW,84.16,9.59,1.25,0.96,1.43,2.61
DOBBINS,73.14,22.88,0.37,0.71,1.72,1.18
VANN,55.5,31.7,4.55,3.63,2.73,1.89
CHESTER,68.46,26.54,0.58,1.27,1.79,1.37
STRANGE,83.53,12.8,0.32,0.54,1.4,1.41
LEMON,63.9,28.96,0.8,0.62,1.66,4.07
KAHN,88.13,1.56,5.4,0.42,2.49,1.99
MCKINNON,72.55,23.09,0.43,0.61,1.5,1.83
GANNON,95.82,0.73,0.5,0.24,1.29,1.42
WAGGONER,93.38,2.62,0.36,0.78,1.42,1.44
CONN,93.11,2.6,0.44,1.06,1.47,1.33
MEEK,92.85,2.32,0.58,0.79,1.4,2.06
CAVAZOS,6.45,0.15,0.14,0.14,0.35,92.77
SKELTON,90.49,5.71,0.54,0.51,1.4,1.35
LO,2.64,1.09,91.93,0.05,3.38,0.92
KUMAR,5.13,0.7,83.83,0.32,8.87,1.16
TOLEDO,9.73,0.5,5.99,8.25,1.65,73.89
LORENZ,95.09,0.43,0.72,0.34,0.99,2.43
VALLEJO,6.59,0.39,1.88,0.29,0.6,90.26
STARKEY,90.4,5.53,0.51,0.84,1.28,1.44
KITCHEN,81.2,14.55,0.43,0.84,1.62,1.37
REAVES,58.22,38.28,0.28,0.35,1.73,1.15
DEMARCO,95.91,0.63,0.35,0.13,0.97,2.01
FARRAR,81.93,13.81,0.45,0.35,1.85,1.62
STEARNS,92.56,3.01,0.57,0.8,1.13,1.92
MICHAUD,93.18,2.77,0.47,0.53,1.82,1.23
HIGGINBOTHAM,90.31,6.54,0.39,0.4,1.08,1.28
FERNANDES,60.23,5.12,9.27,0.34,13.24,11.8
ISAACS,85.6,8.47,0.92,1.11,2.27,1.63
MARION,73.57,21.14,0.58,0.99,1.62,2.1
GUILLORY,50.99,43.29,0.24,0.35,2.72,2.41
PRIEST,89.99,5.78,0.49,0.79,1.44,1.52
MEEHAN,95.95,0.25,0.56,0.31,0.93,1.99
OLIVEIRA,76.7,1.58,1,0.12,13.41,7.2
PALMA,27.16,0.96,5.66,0.32,1.04,64.85
OSWALD,96.29,0.66,0.4,0.29,0.83,1.53
GALVEZ,5.41,0.52,6.48,0.27,0.87,86.44
LOOMIS,95.84,0.39,0.41,0.49,1.27,1.6
LIND,90.64,1.29,0.84,1.23,1.5,4.5
MENA,8.28,0.9,0.72,0.23,0.7,89.17
STCLAIR,87.09,7.1,0.45,2.01,1.72,1.63
HINDS,67.26,26.56,0.43,0.64,2.34,2.76
REARDON,95.7,1.14,0.43,0.2,1.05,1.47
ALLEY,92.94,3.21,0.42,0.43,1.53,1.48
BARTH,96.07,0.94,0.41,0.3,0.85,1.43
CROOK,85.01,11.13,0.47,0.83,1.28,1.29
BLISS,93.79,1.74,0.68,0.87,1.46,1.46
NAGEL,96.29,0.3,0.65,0.4,0.93,1.44
BANUELOS,3.3,0.1,0.23,0.27,0.22,95.88
PARISH,82.72,11.65,0.79,1.56,1.65,1.63
HARMAN,95.1,1.32,0.51,0.4,1.31,1.37
DOUGLASS,84.41,12.03,0.47,0.27,1.35,1.46
KEARNS,93.97,2.56,0.64,0.28,1.24,1.31
NEWCOMB,94.53,1.7,0.59,0.44,1.6,1.15
MULLIGAN,93.34,3.23,0.61,0.27,0.94,1.61
